Day	Time	Open	High	Low	Close	Volume
29.04.2019	03:16	5.94309	5.94359	5.94309	5.94359	11200000048
29.04.2019	03:17	5.94310	5.94360	5.94310	5.94360	11200000048
29.04.2019	03:18	5.94360	5.94360	5.94360	5.94360	0
29.04.2019	03:19	5.94310	5.94360	5.94310	5.94360	11200000048
29.04.2019	03:20	5.94359	5.94359	5.94359	5.94359	750000
29.04.2019	03:21	5.94310	5.94359	5.94310	5.94359	11200000048
29.04.2019	03:22	5.94310	5.94360	5.94310	5.94360	11200000048
29.04.2019	03:23	5.94359	5.94359	5.94359	5.94359	750000
29.04.2019	03:24	5.94309	5.94359	5.94309	5.94359	11200000048
29.04.2019	03:25	5.94310	5.94359	5.94310	5.94359	11200000048
29.04.2019	03:26	5.94310	5.94360	5.94310	5.94360	11200000048
29.04.2019	03:27	5.94309	5.94360	5.94309	5.94360	11200000048
29.04.2019	03:28	5.94309	5.94359	5.94309	5.94359	11200000048
29.04.2019	03:29	5.94309	5.94359	5.94309	5.94359	11200000048
29.04.2019	03:30	5.94359	5.94359	5.94359	5.94359	0
29.04.2019	03:31	5.94310	5.94359	5.94310	5.94359	11200000048
29.04.2019	03:32	5.94309	5.94360	5.94309	5.94360	11200000048
29.04.2019	03:33	5.94310	5.94360	5.94310	5.94360	11200000048
29.04.2019	03:34	5.94310	5.94359	5.94310	5.94359	11200000048
29.04.2019	03:35	5.94309	5.94360	5.94309	5.94360	11200000048
29.04.2019	03:36	5.94309	5.94360	5.94309	5.94360	11200000048
29.04.2019	03:37	5.94309	5.94360	5.94309	5.94360	11200000048
29.04.2019	03:38	5.94360	5.94360	5.94360	5.94360	0
29.04.2019	03:39	5.94310	5.94359	5.94310	5.94359	11200000048
29.04.2019	03:40	5.94310	5.94359	5.94310	5.94359	11200000048
29.04.2019	03:41	5.94359	5.94359	5.94359	5.94359	0
29.04.2019	03:42	5.94309	5.94359	5.94309	5.94359	11200000048
29.04.2019	03:43	5.94309	5.94360	5.94309	5.94360	11200000048
29.04.2019	03:44	5.94309	5.94360	5.94309	5.94360	11200000048
29.04.2019	03:45	5.94310	5.94360	5.94310	5.94360	11200000048
29.04.2019	03:46	5.94359	5.94359	5.94359	5.94359	750000
29.04.2019	03:47	5.94310	5.94360	5.94310	5.94360	11200000048
29.04.2019	03:48	5.94397	5.94397	5.94396	5.94397	2250000
29.04.2019	03:49	5.94397	5.94429	5.94315	5.94410	104099998474
29.04.2019	03:50	5.94420	5.94420	5.94420	5.94420	7400000095
29.04.2019	03:51	5.94419	5.94419	5.94419	5.94419	3700000048
29.04.2019	03:52	5.94420	5.94420	5.94420	5.94420	3700000048
29.04.2019	03:53	5.94419	5.94420	5.94419	5.94420	11100000143
29.04.2019	03:54	5.94419	5.94430	5.94419	5.94430	37000000477
29.04.2019	03:55	5.94430	5.94454	5.94429	5.94430	18500000238
29.04.2019	03:56	5.94429	5.94430	5.94429	5.94429	18500000238
29.04.2019	03:57	5.94430	5.94430	5.94429	5.94429	14800000191
29.04.2019	03:58	5.94430	5.94456	5.94429	5.94449	40700001717
29.04.2019	03:59	5.94456	5.94460	5.94440	5.94449	48099999428
29.04.2019	04:00	5.94440	5.94458	5.94440	5.94449	29600000381
29.04.2019	04:01	5.94439	5.94458	5.94439	5.94458	22200000286
29.04.2019	04:02	5.94449	5.94450	5.94440	5.94449	33299999237
29.04.2019	04:03	5.94450	5.94450	5.94449	5.94449	11100000143
29.04.2019	04:04	5.94450	5.94458	5.94449	5.94458	18500000238
29.04.2019	04:05	5.94457	5.94457	5.94457	5.94457	3700000048
29.04.2019	04:06	5.94458	5.94470	5.94449	5.94449	29600000381
29.04.2019	04:07	5.94450	5.94450	5.94450	5.94450	3700000048
29.04.2019	04:08	5.94434	5.94817	5.94424	5.94817	96300001144
29.04.2019	04:09	5.94796	5.94796	5.94796	5.94796	11100000143
29.04.2019	04:10	5.94796	5.94797	5.94796	5.94797	7400000095
29.04.2019	04:11	5.94797	5.94797	5.94797	5.94797	7400000095
29.04.2019	04:12	5.94796	5.94796	5.94796	5.94796	11100000143
29.04.2019	04:13	5.94797	5.94797	5.94796	5.94796	14800000191
29.04.2019	04:14	5.94796	5.94796	5.94749	5.94750	29600000381
29.04.2019	04:15	5.94750	5.94750	5.94749	5.94750	18500000238
29.04.2019	04:16	5.94750	5.94797	5.94749	5.94774	33299999237
29.04.2019	04:17	5.94774	5.94774	5.94771	5.94771	7400000095
29.04.2019	04:18	5.94771	5.94771	5.94771	5.94771	3700000048
29.04.2019	04:19	5.94771	5.94771	5.94771	5.94771	7400000095
29.04.2019	04:20	5.94771	5.94771	5.94769	5.94769	11100000143
29.04.2019	04:21	5.94769	5.94770	5.94769	5.94770	11100000143
29.04.2019	04:22	5.94770	5.94770	5.94758	5.94758	18600000143
29.04.2019	04:23	5.94760	5.94761	5.94756	5.94756	6000000
29.04.2019	04:24	5.94757	5.94757	5.94753	5.94753	6000000
29.04.2019	04:25	5.94754	5.94754	5.94750	5.94753	8250000
29.04.2019	04:26	5.94752	5.94831	5.94750	5.94830	108699998856
29.04.2019	04:27	5.94830	5.94870	5.94830	5.94869	11250000
29.04.2019	04:28	5.94868	5.94878	5.94817	5.94817	70999999046
29.04.2019	04:29	5.94817	5.94817	5.94817	5.94817	7400000095
29.04.2019	04:30	5.94816	5.94816	5.94816	5.94816	3700000048
29.04.2019	04:31	5.94816	5.94927	5.94816	5.94914	8970000267
29.04.2019	04:32	5.94914	5.94920	5.94907	5.94919	13500000
29.04.2019	04:33	5.94918	5.94919	5.94918	5.94919	6000000
29.04.2019	04:34	5.94919	5.94919	5.94917	5.94917	6750000
29.04.2019	04:35	5.94918	5.94919	5.94917	5.94918	8250000
29.04.2019	04:36	5.94919	5.94924	5.94919	5.94924	7500000
29.04.2019	04:37	5.94899	5.94900	5.94816	5.94816	133299999237
29.04.2019	04:38	5.94817	5.95090	5.94817	5.95090	149300003052
29.04.2019	04:39	5.95090	5.95097	5.95090	5.95097	11100000143
29.04.2019	04:40	5.95097	5.95097	5.94838	5.94885	288500003815
29.04.2019	04:41	5.94883	5.94910	5.94882	5.94899	60750000
29.04.2019	04:42	5.94899	5.94899	5.94892	5.94895	20250000
29.04.2019	04:43	5.94894	5.94894	5.94888	5.94888	51000000
29.04.2019	04:44	5.94889	5.94907	5.94889	5.94902	9000000
29.04.2019	04:45	5.94901	5.94902	5.94901	5.94902	9000000
